epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8883,5.63463,4.56634,3.30224,0,0,0,0,4.20475,4.53868,2.24156,1e-05,1e-05,1e-05
2,67.4145,5.46391,4.56625,3.13018,0,0,0,0,4.01049,4.52851,2.15409,2.9703e-05,2.9703e-05,2.9703e-05
3,112.518,5.01558,4.52469,2.9773,0,0,0,0,3.685,4.51303,2.02836,4.901e-05,4.901e-05,4.901e-05
4,142.215,4.90999,4.53715,2.71422,0,0,0,0,3.32881,4.49772,1.91591,6.7921e-05,6.7921e-05,6.7921e-05
5,171.213,4.18398,4.47524,2.30525,0,0,0,0,3.0906,4.48513,1.85388,8.6436e-05,8.6436e-05,8.6436e-05
6,195.291,3.54607,4.41252,1.94798,0,0,0,0,3.09028,4.47622,1.8392,0.000104555,0.000104555,0.000104555
7,224.925,3.13063,4.34749,1.78832,0,0,0,0,3.19147,4.46458,1.83093,0.000122278,0.000122278,0.000122278
8,249.17,3.26073,4.28777,1.64371,0,0,0,0,3.05594,4.41145,1.67776,0.000139605,0.000139605,0.000139605
9,276.006,2.98575,4.18751,1.53623,0,0,0,0,2.79149,4.3543,1.54026,0.000156536,0.000156536,0.000156536
10,301.443,2.54898,4.12164,1.49507,0,0,0,0,2.51429,4.33734,1.42922,0.000173071,0.000173071,0.000173071
11,328.542,2.75602,4.09362,1.45115,0.00024,0.00113,0.00012,1e-05,2.23561,4.30384,1.34211,0.00018921,0.00018921,0.00018921
12,358.031,2.64785,3.96474,1.44107,0.00813,0.01875,0.00509,0.00122,2.09117,4.24963,1.29538,0.000204953,0.000204953,0.000204953
13,383.636,2.30137,3.90978,1.37579,0.02345,0.04901,0.01511,0.00471,2.03046,4.19442,1.27358,0.0002203,0.0002203,0.0002203
