epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0671,5.02685,4.52428,2.83738,0,0,0,0,3.08948,4.48679,1.83423,9e-05,9e-05,9e-05
2,161.074,2.88511,4.24715,1.63786,0,0,0,0,2.29926,4.33898,1.42595,0.000187649,0.000187649,0.000187649
3,241.646,2.26706,3.88938,1.3322,0.02176,0.0428,0.01355,0.00266,1.78274,4.09545,1.19935,0.000282823,0.000282823,0.000282823
4,325.819,1.92649,3.6075,1.18487,0.04509,0.10622,0.03215,0.0139,1.88076,3.89887,1.30564,0.000375521,0.000375521,0.000375521
5,412.674,1.82965,3.40513,1.12922,0.09547,0.24806,0.08501,0.03809,1.77226,3.1087,1.14357,0.000465745,0.000465745,0.000465745
6,494.373,1.80399,3.2939,1.08401,0.10951,0.27454,0.09428,0.0408,1.72407,3.08906,1.11756,0.000553494,0.000553494,0.000553494
7,699.568,1.7744,3.12847,1.0701,0.11111,0.29385,0.09385,0.04536,1.75046,2.86308,1.13739,0.000638767,0.000638767,0.000638767
8,776.237,1.68665,2.8742,1.06382,0.12896,0.31538,0.10881,0.05293,1.77904,2.87057,1.06395,0.000721566,0.000721566,0.000721566
9,855.093,1.68137,2.74667,1.02075,0.14779,0.3721,0.12423,0.06158,1.71936,2.76458,1.0922,0.00080189,0.00080189,0.00080189
10,935.626,1.74743,2.60017,1.03849,0.1623,0.40538,0.13787,0.06914,1.74757,2.42789,1.04473,0.000879739,0.000879739,0.000879739
11,1016.29,1.68451,2.44802,1.02483,0.1641,0.40582,0.14209,0.07247,1.70278,2.28676,1.02919,0.00087625,0.00087625,0.00087625
12,1098.12,1.65973,2.30837,1.02756,0.1631,0.3598,0.13551,0.07486,1.58513,2.22455,1.0069,0.000863875,0.000863875,0.000863875
13,1181.11,1.66706,2.1995,1.01803,0.17217,0.37744,0.14466,0.08043,1.65162,2.3438,1.02796,0.0008515,0.0008515,0.0008515
14,1264.71,1.63235,2.13927,1.00463,0.16817,0.41523,0.15052,0.08218,1.58413,2.25381,1.03192,0.000839125,0.000839125,0.000839125
