epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.36321,5.53888,4.55988,3.17867,0,0,0,0,3.86293,4.52345,2.1057,5e-05,5e-05,5e-05
2,13.902,5.07435,4.53973,2.67026,0,0,0,0,3.34342,4.50073,1.90772,0.000107278,0.000107278,0.000107278
3,20.6365,3.86172,4.45953,2.2209,0,0,0,0,2.95935,4.46371,1.7599,0.000161585,0.000161585,0.000161585
4,27.2918,3.4829,4.40777,1.95261,0,0,0,0,3.10681,4.38404,1.79195,0.000212923,0.000212923,0.000212923
5,34.1427,3.11226,4.31346,1.78227,0,0,0,0,3.07596,4.33735,1.82798,0.00026129,0.00026129,0.00026129
6,40.5267,2.70601,4.21051,1.63958,0.00028,0.00142,0.00014,3e-05,2.79315,4.33045,1.74074,0.000306687,0.000306687,0.000306687
7,47.2239,2.80749,4.13146,1.58646,0.00315,0.00697,0.00165,0.00029,2.3797,4.26708,1.52888,0.000349115,0.000349115,0.000349115
8,53.9167,2.6775,4.05681,1.44738,0.00315,0.00697,0.00165,0.00029,2.3797,4.26708,1.52888,0.000388573,0.000388573,0.000388573
9,60.3878,2.67496,3.96785,1.44015,0.02361,0.03808,0.01618,0.00467,2.07009,4.1299,1.32198,0.00042506,0.00042506,0.00042506
10,66.8218,2.57736,3.92138,1.40204,0.03361,0.08586,0.0209,0.00475,2.04807,3.93771,1.29846,0.000458578,0.000458578,0.000458578
11,73.7407,2.56665,3.8396,1.30992,0.03361,0.08586,0.0209,0.00475,2.04807,3.93771,1.29846,0.000489125,0.000489125,0.000489125
12,80.321,2.56354,3.77662,1.36701,0.01967,0.08995,0.01522,0.00492,2.01804,3.73499,1.26918,0.000516703,0.000516703,0.000516703
13,86.4277,2.20559,3.70264,1.29664,0.01967,0.08995,0.01522,0.00492,2.01804,3.73499,1.26918,0.00054131,0.00054131,0.00054131
14,93.0471,2.35976,3.72074,1.22253,0.01967,0.08995,0.01522,0.00492,2.01804,3.73499,1.26918,0.000562948,0.000562948,0.000562948
15,99.5067,1.99218,3.64145,1.30705,0.04124,0.13916,0.03026,0.01098,1.91891,3.51438,1.24016,0.000581615,0.000581615,0.000581615
16,112.028,2.13279,3.6253,1.25715,0.04124,0.13916,0.03026,0.01098,1.91891,3.51438,1.24016,0.000597313,0.000597313,0.000597313
17,122.335,2.02159,3.59834,1.24688,0.06642,0.18778,0.04931,0.01743,1.80977,3.32497,1.19675,0.000604,0.000604,0.000604
18,129.524,1.99741,3.64342,1.20852,0.06642,0.18778,0.04931,0.01743,1.80977,3.32497,1.19675,0.00057925,0.00057925,0.00057925
19,136.79,2.32117,3.56683,1.23387,0.06642,0.18778,0.04931,0.01743,1.80977,3.32497,1.19675,0.0005545,0.0005545,0.0005545
20,143.035,2.09788,3.55955,1.21071,0.0603,0.19331,0.04763,0.02099,1.76963,3.251,1.19621,0.00052975,0.00052975,0.00052975
21,149.98,2.09505,3.51932,1.1525,0.0603,0.19331,0.04763,0.02099,1.76963,3.251,1.19621,0.000505,0.000505,0.000505
22,156.495,1.92963,3.48698,1.19866,0.0603,0.19331,0.04763,0.02099,1.76963,3.251,1.19621,0.00048025,0.00048025,0.00048025
23,163.435,2.04459,3.54889,1.11781,0.05909,0.1951,0.04834,0.02179,1.775,3.20861,1.20996,0.0004555,0.0004555,0.0004555
24,170.352,2.09341,3.55541,1.13399,0.05909,0.1951,0.04834,0.02179,1.775,3.20861,1.20996,0.00043075,0.00043075,0.00043075
25,177.308,1.98382,3.4771,1.19081,0.12315,0.22566,0.08676,0.03263,1.76935,3.22475,1.22386,0.000406,0.000406,0.000406
26,183.852,1.85728,3.4427,1.20465,0.12315,0.22566,0.08676,0.03263,1.76935,3.22475,1.22386,0.00038125,0.00038125,0.00038125
27,190.381,1.95151,3.45107,1.1229,0.12315,0.22566,0.08676,0.03263,1.76935,3.22475,1.22386,0.0003565,0.0003565,0.0003565
28,196.828,1.92502,3.45062,1.13311,0.07027,0.23498,0.06202,0.02957,1.7422,3.22095,1.20157,0.00033175,0.00033175,0.00033175
29,203.115,1.78953,3.32974,1.24687,0.07027,0.23498,0.06202,0.02957,1.7422,3.22095,1.20157,0.000307,0.000307,0.000307
30,209.572,1.76536,3.43688,1.16972,0.07027,0.23498,0.06202,0.02957,1.7422,3.22095,1.20157,0.00028225,0.00028225,0.00028225
31,215.232,1.71802,3.25244,1.11837,0.05671,0.21077,0.0525,0.02445,1.69035,3.18167,1.14673,0.0002575,0.0002575,0.0002575
32,220.881,1.76878,3.25691,1.15182,0.05671,0.21077,0.0525,0.02445,1.69035,3.18167,1.14673,0.00023275,0.00023275,0.00023275
33,226.719,1.82714,3.26652,1.13642,0.05649,0.22342,0.05555,0.02688,1.64882,3.12113,1.10534,0.000208,0.000208,0.000208
34,232.283,1.78343,3.24666,1.1779,0.05649,0.22342,0.05555,0.02688,1.64882,3.12113,1.10534,0.00018325,0.00018325,0.00018325
35,237.8,1.94702,3.25639,1.16398,0.05649,0.22342,0.05555,0.02688,1.64882,3.12113,1.10534,0.0001585,0.0001585,0.0001585
36,243.376,1.68681,3.34771,1.12784,0.06315,0.24868,0.06275,0.03027,1.64617,3.09007,1.09095,0.00013375,0.00013375,0.00013375
37,248.899,1.83596,3.26136,1.21509,0.06315,0.24868,0.06275,0.03027,1.64617,3.09007,1.09095,0.000109,0.000109,0.000109
38,254.916,1.79745,3.24399,1.08728,0.06315,0.24868,0.06275,0.03027,1.64617,3.09007,1.09095,8.425e-05,8.425e-05,8.425e-05
39,261.17,1.859,3.27845,1.20224,0.06637,0.26102,0.06751,0.03355,1.63931,3.09369,1.08633,5.95e-05,5.95e-05,5.95e-05
40,267.224,1.90046,3.16026,1.08437,0.06637,0.26102,0.06751,0.03355,1.63931,3.09369,1.08633,3.475e-05,3.475e-05,3.475e-05
