epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,451.736,0,108.929,0,0,0,0,0,0,141.308,0,0.000365752,0.000365752,0.000365752
5,579.223,0,103.58,0,0,0,0,0,0,129.324,0,0.000450124,0.000450124,0.000450124
6,729.437,0,99.1894,0,0,0,0,0,0,119.238,0,0.000530536,0.000530536,0.000530536
7,915.474,0,95.3244,0,0,0,0,0,0,108.114,0,0.000606988,0.000606988,0.000606988
8,1101.65,0,92.7511,0,0,0,0,0,0,98.4416,0,0.000679481,0.000679481,0.000679481
9,1301.79,0,89.8833,0,0,0,0,0,0,96.4308,0,0.000748014,0.000748014,0.000748014
10,1502.46,0,87.4913,0,0,0,0,0,0,97.4611,0,0.000812588,0.000812588,0.000812588
11,1696.56,0,85.3015,0,0,0,0,0,0,97.3751,0,0.000873202,0.000873202,0.000873202
12,1889.08,0,83.0065,0,0,0,0,0,0,98.0905,0,0.000869024,0.000869024,0.000869024
13,2080.84,0,80.824,0,0,0,0,0,0,97.7629,0,0.000847026,0.000847026,0.000847026
14,2277.95,0,78.5743,0,0,0,0,0,0,92.9732,0,0.000825029,0.000825029,0.000825029
15,2475.2,0,76.2343,0,0,0,0,0,0,89.6921,0,0.000803031,0.000803031,0.000803031
16,2667.54,0,74.0619,0,0,0,0,0,0,86.5987,0,0.000781033,0.000781033,0.000781033
17,2874.43,0,73.0397,0,0,0,0,0,0,85.8241,0,0.000759035,0.000759035,0.000759035
18,3075.98,0,70.5007,0,0,0,0,0,0,85.928,0,0.000737037,0.000737037,0.000737037
19,3335.56,0,68.5886,0,0,0,0,0,0,89.6682,0,0.00071504,0.00071504,0.00071504
20,3584.08,0,66.8956,0,0,0,0,0,0,87.9172,0,0.000693042,0.000693042,0.000693042
21,3798.72,0,65.441,0,0,0,0,0,0,81.2129,0,0.000671044,0.000671044,0.000671044
22,3983.26,0,63.8641,0,0,0,0,0,0,80.722,0,0.000649046,0.000649046,0.000649046
23,4113.17,0,62.4742,0,0,0,0,0,0,83.2024,0,0.000627048,0.000627048,0.000627048
24,4237.57,0,61.079,0,0,0,0,0,0,75.8472,0,0.000605051,0.000605051,0.000605051
25,4367.73,0,59.6397,0,0,0,0,0,0,74.9179,0,0.000583053,0.000583053,0.000583053
26,4497.15,0,58.3154,0,0,0,0,0,0,73.375,0,0.000561055,0.000561055,0.000561055
27,4643.2,0,57.0838,0,0,0,0,0,0,71.7433,0,0.000539057,0.000539057,0.000539057
28,4796.03,0,55.9021,0,0,0,0,0,0,69.7422,0,0.000517059,0.000517059,0.000517059
29,4978.48,0,54.7468,0,0,0,0,0,0,70.1189,0,0.000495062,0.000495062,0.000495062
30,5203.21,0,53.6365,0,0,0,0,0,0,69.1518,0,0.000473064,0.000473064,0.000473064
31,5320.78,0,52.6756,0,0,0,0,0,0,67.8366,0,0.000451066,0.000451066,0.000451066
32,5447.37,0,51.6801,0,0,0,0,0,0,359.647,0,0.000429068,0.000429068,0.000429068
33,5575.61,0,50.7374,0,0,0,0,0,0,205.049,0,0.00040707,0.00040707,0.00040707
34,5693.31,0,49.8574,0,0,0,0,0,0,74.649,0,0.000385073,0.000385073,0.000385073
35,5809.91,0,49.0352,0,0,0,0,0,0,63.7363,0,0.000363075,0.000363075,0.000363075
36,5926.51,0,48.2847,0,0,0,0,0,0,61.8762,0,0.000341077,0.000341077,0.000341077
37,6044.47,0,47.5176,0,0,0,0,0,0,60.9014,0,0.000319079,0.000319079,0.000319079
38,6160.96,0,46.8105,0,0,0,0,0,0,59.7765,0,0.000297081,0.000297081,0.000297081
39,6277.45,0,46.2321,0,0,0,0,0,0,58.8792,0,0.000275084,0.000275084,0.000275084
40,6394.17,0,45.6527,0,0,0,0,0,0,57.8925,0,0.000253086,0.000253086,0.000253086
41,6509.95,0,45.1147,0,0,0,0,0,0,56.8867,0,0.000231088,0.000231088,0.000231088
42,6625.92,0,44.6745,0,0,0,0,0,0,56.2179,0,0.00020909,0.00020909,0.00020909
43,6742.02,0,44.2375,0,0,0,0,0,0,55.7476,0,0.000187092,0.000187092,0.000187092
44,6859.84,0,43.9225,0,0,0,0,0,0,55.21,0,0.000165095,0.000165095,0.000165095
45,6975.17,0,43.5734,0,0,0,0,0,0,54.8308,0,0.000143097,0.000143097,0.000143097
46,7092.83,0,43.3134,0,0,0,0,0,0,54.5395,0,0.000121099,0.000121099,0.000121099
47,7216.05,0,43.0691,0,0,0,0,0,0,54.2733,0,9.91012e-05,9.91012e-05,9.91012e-05
48,7331.36,0,42.9093,0,0,0,0,0,0,53.9033,0,7.71034e-05,7.71034e-05,7.71034e-05
49,7446.5,0,42.7522,0,0,0,0,0,0,53.5933,0,5.51056e-05,5.51056e-05,5.51056e-05
50,7562.98,0,42.6485,0,0,0,0,0,0,53.3712,0,3.31078e-05,3.31078e-05,3.31078e-05
1,11.5991,5.63463,4.56634,3.30224,0,0,0,0,4.20475,4.53868,2.24156,1e-05,1e-05,1e-05
2,22.0386,5.46437,4.56627,3.13068,0,0,0,0,4.01318,4.52864,2.15522,2.9406e-05,2.9406e-05,2.9406e-05
3,33.1563,5.01943,4.52495,2.98048,0,0,0,0,3.69501,4.51337,2.0318,4.802e-05,4.802e-05,4.802e-05
4,44.2033,4.92475,4.53787,2.72388,0,0,0,0,3.34614,4.49832,1.92091,6.5842e-05,6.5842e-05,6.5842e-05
5,54.3997,4.21229,4.47746,2.32025,0,0,0,0,3.1022,4.48594,1.85581,8.2872e-05,8.2872e-05,8.2872e-05
6,64.2831,3.58965,4.41741,1.965,0,0,0,0,3.07922,4.47671,1.83678,9.911e-05,9.911e-05,9.911e-05
7,74.614,3.16585,4.35707,1.80555,0,0,0,0,3.17829,4.46634,1.83254,0.000114556,0.000114556,0.000114556
8,84.6972,3.30347,4.3013,1.66287,0,0,0,0,3.1438,4.43963,1.72807,0.00012921,0.00012921,0.00012921
9,94.8413,3.03166,4.20808,1.55716,0,0,0,0,2.93725,4.40004,1.61532,0.000143072,0.000143072,0.000143072
10,105,2.59829,4.14287,1.51303,0,0,0,0,2.62567,4.3453,1.48113,0.000156142,0.000156142,0.000156142
11,115.331,2.80248,4.11939,1.47114,0,0,0,0,2.34321,4.31683,1.38167,0.00016842,0.00016842,0.00016842
12,125.607,2.68584,4.00274,1.45822,0.00359,0.01031,0.00204,0.00061,2.17919,4.28164,1.33136,0.000179906,0.000179906,0.000179906
13,135.414,2.32984,3.95018,1.39351,0.01814,0.03342,0.0135,0.00351,2.07279,4.23245,1.29638,0.0001906,0.0001906,0.0001906
14,145.657,2.51097,3.90415,1.29727,0.02285,0.21896,0.01518,0.00397,2.01396,4.18813,1.26782,0.000200502,0.000200502,0.000200502
15,155.845,2.11077,3.8345,1.37206,0.01825,0.20614,0.01053,0.00276,1.9505,4.14447,1.24728,0.000209612,0.000209612,0.000209612
16,166.7,2.20343,3.77973,1.29295,0.01089,0.02353,0.00577,0.00133,1.88165,4.09555,1.23018,0.00021793,0.00021793,0.00021793
17,176.984,2.0469,3.74652,1.24991,0.01164,0.02708,0.00612,0.00169,1.83592,4.04738,1.21668,0.000225456,0.000225456,0.000225456
18,187.271,2.20384,3.74757,1.22421,0.02416,0.06533,0.0145,0.00481,1.79009,4.00086,1.20029,0.00023219,0.00023219,0.00023219
19,198.217,2.25998,3.62773,1.21802,0.02387,0.24265,0.01751,0.00558,1.74257,3.94962,1.18685,0.000238132,0.000238132,0.000238132
20,208.377,1.96844,3.62449,1.2009,0.01959,0.25163,0.01711,0.00514,1.7193,3.8959,1.18156,0.000243282,0.000243282,0.000243282
