Page,Enrollment Number,Image,Predicted Answers,Correctness,Answer Key,Total Score
1,202439001,test_2_page_044.jpg,a,❌,d,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,A,✅,a,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,a,❌,c,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,a,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,d,❌,b,33
1,202439001,test_2_page_044.jpg,b,❌,a,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,e,❌,d,33
1,202439001,test_2_page_044.jpg,c,❌,e,33
1,202439001,test_2_page_044.jpg,a,❌,e,33
1,202439001,test_2_page_044.jpg,b,❌,e,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,a,❌,e,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,c,❌,e,33
1,202439001,test_2_page_044.jpg,e,❌,c,33
2,202439002,test_2_page_045.jpg,c,❌,e,34
2,202439002,test_2_page_045.jpg,c,❌,d,34
2,202439002,test_2_page_045.jpg,C,✅,c,34
2,202439002,test_2_page_045.jpg,C,✅,c,34
2,202439002,test_2_page_045.jpg,c,❌,e,34
2,202439002,test_2_page_045.jpg,c,❌,e,34
2,202439002,test_2_page_045.jpg,c,❌,d,34
2,202439002,test_2_page_045.jpg,D,✅,d,34
2,202439002,test_2_page_045.jpg,c,❌,d,34
2,202439002,test_2_page_045.jpg,c,❌,e,34
2,202439002,test_2_page_045.jpg,d,❌,e,34
2,202439002,test_2_page_045.jpg,d,❌,e,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,e,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,e,34
2,202439002,test_2_page_045.jpg,C,✅,c,34
2,202439002,test_2_page_045.jpg,c,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,e,34
2,202439002,test_2_page_045.jpg,d,❌,c,34
2,202439002,test_2_page_045.jpg,d,❌,c,34
2,202439002,test_2_page_045.jpg,c,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,e,34
2,202439002,test_2_page_045.jpg,e,❌,b,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,d,❌,c,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,c,❌,e,34
2,202439002,test_2_page_045.jpg,c,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,D,✅,d,34
2,202439002,test_2_page_045.jpg,e,❌,c,34
2,202439002,test_2_page_045.jpg,E,✅,e,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,E,✅,e,34
2,202439002,test_2_page_045.jpg,e,❌,b,34
2,202439002,test_2_page_045.jpg,a,❌,d,34
2,202439002,test_2_page_045.jpg,c,❌,e,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,b,❌,e,34
